,id,name,address,latitude,longitude,rating,second_word,types,Description
147,207,Samakhusi Children Park,"P8F7+JC5, Road, Kathmandu 44600, Nepal",27.7240061,85.3136197,3.8,Road,"park, point_of_interest, establishment",Jhor waterfall is located in the northern hills of Kathmandu near Tokha. The stream from Shivapuri National Park feeds the waterfall. The waterfall is about 11 km from Ring Road (Samakhusi Chowk) from Samakhushi.
148,208,Apple Ground Public Park Narephat,"M992+HHW, Kathmandu 44600, Nepal",27.6684625,85.3517663,4.0,Kathmandu 44600,"park, point_of_interest, establishment",
149,209,Shanti Park,"P977+J3P, Boudha Rd Nayabasti, Kathmandu 44600, Nepal",27.7138328,85.3630829,3.8,Boudha Rd Nayabasti,"park, point_of_interest, establishment","The Millennium Park is a park on the Outer Ring Road in the east of Delhi, India. It was constructed in 2004 by the Delhi Development Authority. The park includes a children's park, an amphitheatre and a food court."
150,210,Bhadrakali park,"M8X8+MXR, Kathmandu 44600, Nepal",27.6992387,85.3173864,4.0,Kathmandu 44600,"park, point_of_interest, establishment","Bhadrakali Temple is one of the oldest temples for Goddess Bhadrakali, situated on a hilltop between the two cities of Hanamkonda and Warangal, Telangana, India.


== History ==
The temple is believed to be built in 625 CE by the King Pulakeshin II of Chalukya dynasty to commemorate his victory over Vengi region of Andhra Desham, as per the writings on the temple wall.
Kakatiya kings later have adopted the temple and considered Goddess Bhadrakali as their kuladevata."
151,211,Pushpalal Memorial Park,"P853+X5J, Pushpalal Path, Kathmandu 44600, Nepal",27.7099652,85.3028848,4.0,Pushpalal Path,"park, point_of_interest, establishment",
152,212,Kripalu Udhyan,"Kathmandu 44600, Nepal",27.707939,85.345415,4.6,Nepal,"park, point_of_interest, establishment",
153,213,Shanti Park,"P8J8+GQW, Kathmandu 44600, Nepal",27.7313634,85.3169568,3.4,Kathmandu 44600,"park, point_of_interest, establishment","The Millennium Park is a park on the Outer Ring Road in the east of Delhi, India. It was constructed in 2004 by the Delhi Development Authority. The park includes a children's park, an amphitheatre and a food court."
154,214,Mitra Park,"M7RV+3FM, Gaurishankar Sadak, Kathmandu 44600, Nepal",27.690445,85.2935547,3.9,Gaurishankar Sadak,"park, point_of_interest, establishment","Biren Mitra (26 November 1917 – 25 May 1978) was an Indian politician, a leader of the Indian National Congress and the Chief Minister of Odisha from 2 October 1963 to 21 February 1965.


== Personal Life ==
Mitra was born in a Karana Family. He started his student politics with AISF (Communist Party of India students wing) ."
155,215,Kumari Chaur Park,"P994+28Q, Kathmandu 44600, Nepal",27.7174624,85.3558678,3.9,Kathmandu 44600,"park, point_of_interest, establishment",
156,216,The Handigaun Triangle (dhungedhara) park,"Handigaun Marg, Kathmandu 44600, Nepal",27.7187081,85.3371799,3.9,Kathmandu 44600,"park, point_of_interest, establishment",
